ts,F3 10k,F4 5k
17226509.0,998.53897,-1002.54441
17226625.0,997.62343,-1002.42997
17226723.0,998.99673,-1002.27738
17226821.0,998.46267,-1001.93406
17226919.0,998.76785,-1001.93406
17227070.0,997.62343,-1001.66703
17227158.0,998.31008,-1002.73515
17227250.0,998.00491,-1002.12479
17227338.0,998.69155,-1002.01035
17227426.0,997.24196,-1002.73515
17227514.0,997.85232,-1001.70518
17227610.0,998.0812,-1001.36185
17227698.0,998.31008,-1002.20109
17227786.0,997.54714,-1002.46812
17227874.0,997.92861,-1002.23924
17227962.0,998.46267,-1002.58256
17228166.0,998.00491,-1003.07847
17228264.0,997.69973,-1002.35368
17228368.0,997.92861,-1001.81962
17228474.0,997.77602,-1001.93406
17228572.0,997.54714,-1001.78147
17228670.0,998.31008,-1001.51444
17228768.0,997.54714,-1001.85776
17228873.0,997.47085,-1001.43815
17228971.0,997.77602,-1001.24741
17229069.0,997.85232,-1001.74332
17229167.0,998.0812,-1001.47629
17229266.0,998.0812,-1002.39182
17229365.0,997.85232,-1002.697
17229464.0,998.31008,-1002.65885
17229563.0,998.53897,-1002.7733
17229662.0,998.99673,-1003.00218
17229761.0,998.00491,-1003.19291
17229860.0,999.07303,-1003.23106
17229959.0,998.46267,-1002.62071
17230058.0,998.00491,-1002.50627
17230157.0,998.84414,-1002.96403
17230256.0,889.20932,-799.98322
17230355.0,833.896,-799.02954
17230454.0,817.79792,-799.22027
17230553.0,807.19302,-801.12763
17230656.0,803.68349,-802.69166
17230755.0,801.92872,-803.60719
17230855.0,800.02136,-802.2339
17230955.0,800.8606,-800.97504
17231054.0,798.95324,-801.54725
17231154.0,799.33471,-801.43281
17231254.0,798.49548,-802.11945
17231355.0,798.34289,-802.65351
17231454.0,797.35106,-802.8061
17231554.0,798.11401,-801.96687
17231653.0,797.96142,-801.81428
17231844.0,798.1903,-802.69166
17231943.0,797.50365,-803.30201
17232043.0,798.57177,-802.65351
17232143.0,797.80883,-802.92054
17232233.0,797.42736,-803.22572
17232322.0,799.4873,-803.14943
17232411.0,797.42736,-802.46278
17232500.0,797.88512,-802.95869
17232589.0,797.88512,-802.72981
17232689.0,798.11401,-802.99684
17232788.0,798.95324,-803.68349
17232887.0,798.03771,-802.11945
17232986.0,799.02954,-802.8061
17233085.0,798.80065,-803.26387
17233193.0,798.34289,-803.11128
17233292.0,799.18213,-802.99684
17233391.0,798.49548,-803.14943
17233490.0,799.41101,-803.11128
17233589.0,782.24481,-576.97516
17233688.0,671.77075,-597.15499
17233787.0,631.56369,-600.39749
17233886.0,618.05961,-603.48741
17233985.0,610.2013,-602.38114
17234084.0,606.00512,-599.21493
