ts,F1
757.000207901001,3806.3576
2429.00013923645,3805.7472
3430.000066757202,3806.2813
4430.999994277954,3807.1968
5432.000160217285,3807.3494
6433.000087738037,3807.8835
7434.000015258789,3806.1287
8435.00018119812,3806.2813
9436.000108718872,3806.7391
10437.000036239624,3807.8835
11438.000202178957,3809.9434
12439.000129699709,3810.7064
13440.00005722046,3810.859
14441.00022315979,3809.4857
15442.000150680542,3808.0361
16443.000078201294,3809.1042
17444.000005722046,3809.8671
18445.000171661377,3809.9434
19446.00009918213,3810.7827
20447.00002670288,3810.2486
21448.00019264221,3809.7908
22449.000120162964,3811.393
23450.00004768372,3811.9271
24451.000213623047,3811.393
25452.0001411438,3812.156
26453.00006866455,3812.3848
27453.999996185303,3812.9952
28455.000162124637,3813.0715
29456.000089645386,3813.1478
30457.000017166138,3813.453
31458.00018310547,3813.2241
32459.00011062622,3813.2241
33460.00003814697,3812.156
34461.000204086304,3813.3767
35462.000131607056,3815.8944
36463.00005912781,3817.1914
37463.99998664856,3818.641
38465.00015258789,3819.7854
39466.00008010864,3819.7091
40467.0000076294,3820.7009
41468.000173568726,3820.6246
42469.00010108948,3821.0061
43470.00002861023,3820.2431
44471.00019454956,3821.0824
45472.00012207031,3822.3794
46473.00004959106,3824.4393
47474.0002155304,3821.3876
48475.00014305115,3822.6083
49476.0000705719,3822.9897
50476.99999809265,3823.066
51478.00016403198,3821.8453
52479.000091552734,3822.0742
53480.000019073486,3822.3031
54481.00018501282,3822.0742
55482.00011253357,3821.769
56483.00004005432,3821.4639
57484.00020599365,3821.0824
58485.0001335144,3822.9134
59486.00006103516,3822.3794
60486.99998855591,3821.6927
61488.00015449524,3822.532
62489.00008201599,3822.3794
63490.00000953674,3821.9979
64491.00017547608,3822.6083
65492.000102996826,3822.8372
66493.00003051758,3822.4557
67494.00019645691,3822.7609
68495.00012397766,3822.1505
69496.00005149841,3821.3876
70497.00021743774,3822.8372
71498.0001449585,3824.4393
72499.00007247925,3824.5919
73500.0,3822.2268
74501.00016593933,3823.4475
75502.00009346008,3823.2949
76503.00002098083,3823.7527
77504.00018692017,3823.066
78505.00011444092,3824.5156
79506.00004196167,3824.2867
80507.000207901,3825.5075
81508.00013542175,3824.0579
82509.0000629425,3825.126
83509.99999046326,3824.5919
84511.00015640259,3824.5156
85512.00008392334,3825.7363
86513.00001144409,3824.5156
87514.00017738342,3825.126
88515.00010490417,3825.2023
89516.00003242493,3825.2023
90517.00019836426,3824.5919
